"2024년 한국 ""청년도약계좌""의 주요 대상은?",20~30대 저소득 청년,60대 이상,중장년,학생만,20~30대 저소득 청년,current,4,
2024년 암호화폐 시장 최대 이벤트는?,비트코인 반감기,이더리움 머지,루나 붕괴,USDT 페그 해체,비트코인 반감기,current,3,
2024년 Apple이 공개한 MR 헤드셋 이름은?,Vision Pro,HoloLens,Quest 3,Mirage,Vision Pro,current,3,
2024년 Microsoft가 인수한 게임사는?,액티비전 블리자드,베데스다,일렉트로닉 아츠,유비소프트,액티비전 블리자드,current,3,
2024년 한국 1인당 GDP 대략은?,$2만,$3만,$3.5만,$5만,$3.5만,current,3,
2024년 한국 영화 관객 1위 작품은?,파묘,서울의 봄,범죄도시 4,인사이드 아웃 2,파묘,current,3,
2024년 삼성전자 AI폰 특징 기능으로 내세운 것은?,Galaxy AI,Circle to Search,실시간 통역,위 모두,위 모두,current,3,
2024년 OpenAI가 공개한 새 모델은?,GPT-4o,GPT-5,Claude 3,Gemini,GPT-4o,current,3,
2024년 Anthropic가 공개한 새 모델은?,Claude 3,Claude 2,Gemini,LLaMA 3,Claude 3,current,3,
2024년 애플의 생성형 AI 브랜드는?,Siri,Apple Intelligence,iGPT,AppleGPT,Apple Intelligence,current,3,
2024년 한국 청년층이 많이 쓰는 숏폼 앱은?,TikTok,인스타 릴스,유튜브 쇼츠,위 모두,위 모두,current,3,
"2024년 논란이 된 ""의대 정원 확대""의 증원 규모는?",500명,1000명,1500명,2000명,2000명,current,3,
2024년 한국 합계출산율 전망은?,0.7,1.0,1.2,1.5,0.7,current,3,
2024년 한국 대표 K-푸드 수출 1위 품목은?,김밥,김,라면,치즈,라면,current,3,
2024년 서울시장은?,오세훈,박원순,박영선,서병수,오세훈,current,3,
2024년 유럽 축구 챔피언스리그 우승팀은?,맨시티,레알 마드리드,바이에른,PSG,레알 마드리드,current,3,
2024 유로 (UEFA Euro) 우승팀은?,스페인,잉글랜드,독일,프랑스,스페인,current,4,
"2024년 11월 한국 화제의 ""탄핵"" 대상자는?",대통령,총리,대법원장,국회의장,대통령,current,4,
2024년 한국 인구 중 65세 이상 비율은 대략?,10%,15%,20%,25%,20%,current,3,
2024년 한국 시가총액 1위 기업은?,삼성전자,SK하이닉스,LG에너지솔루션,현대차,삼성전자,current,3,
2024년 한국 코스피 종가 대략은?,2000,2500,2700,3000,2500,current,3,
2024년 한국 예산 규모 (본예산)는 대략?,500조,600조,650조,700조,650조,current,3,
2024년 유튜브 한국 구독자 1위 채널은?,블랙핑크,BTS,방탄소년단 공식,HYBE LABELS,블랙핑크,current,3,
"""아이브(IVE) 장원영""의 유행어는?",럭키비키,플러팅,멍청이,노답,럭키비키,current,3,
"2024년 화제가 된 ""럭키비키""의 의미는?",럭키한 비키(긍정),운 나쁜,돈이 많은,사랑이 많은,럭키한 비키(긍정),current,3,
2024년 유튜브 쇼츠·인스타그램 릴스의 영상 최대 길이는?,60초,90초,3분,10분,3분,current,3,
2024년 한국 대표 여행 플랫폼은?,트래블월렛·트리플,야놀자·여기어때,마이리얼트립,위 모두,위 모두,current,3,
2024년 한국 대표 배달 앱은?,배달의민족,요기요,쿠팡이츠,위 셋 모두,위 셋 모두,current,3,
2024년 한국 대표 모바일 게임은?,리니지 시리즈,원신,브롤스타즈,위 셋 모두 인기,위 셋 모두 인기,current,3,
"2024년 개봉한 ""베테랑 2"" 주연은?",황정민·정해인,황정민·유아인,정우성·이성민,송중기·박해일,황정민·정해인,current,4,
"2024년 ""히어로즈"" 같은 인기 다큐 중 ""최강야구""의 출연 감독은?",김성근,김재영,김진욱,김경문,김성근,current,4,
"2024년 화제가 된 ""트럼프 2기"" 대통령 당선 시기는?",2024년 1월,2024년 11월,2025년 1월,2024년 6월,2024년 11월,current,3,
2025년 1월 트럼프 2기 취임식 장소는?,백악관,의사당,링컨 기념관,대법원,의사당,current,3,
2024년 한국 드라마 OTT 누적 최대 시청 시간은?,더 글로리,오징어 게임,우영우,선재 업고 튀어,오징어 게임,current,3,
2024년 한국 K-콘텐츠 수출액 대략은?,30억 달러,60억 달러,140억 달러,200억 달러,140억 달러,current,3,
2024년 한국 맥도날드 가격 인상 이슈에 등장한 메뉴는?,빅맥,맥스파이시,1955 버거,위 모두,위 모두,current,3,
"2024년 한국 당면 과제 중 ""기후 위기""에 대응하는 정부 부처는?",환경부,산업부,기획재정부,외교부,환경부,current,3,
2024년 4월 한국 22대 국회의원 선거 승자 정당은?,더불어민주당,국민의힘,정의당,혁신당,더불어민주당,current,3,
2024년 카카오모빌리티 논란 이슈는?,택시 호출 독점 문제,서비스 중단,해킹,합병,택시 호출 독점 문제,current,3,
2024년 삼성전자 주가 하락 주요 이유 중 하나는?,HBM 경쟁력 우려,반도체 불황,환율,위 모두,위 모두,current,3,
"2024년 한국 주식 ""밸류업 지수"" 출시 기관은?",한국거래소,금융감독원,기획재정부,KODEX,한국거래소,current,3,
"2024년 한국 ""개인정보 보호위"" 이슈 기업은?",카카오,네이버,쿠팡,위 모두,위 모두,current,3,
2024년 한국 전기차 화재 사고 이슈 브랜드는?,벤츠 EQE,테슬라,현대 아이오닉,기아 EV6,벤츠 EQE,current,3,
2024년 넷플릭스 한국 오리지널 최대 화제작은?,오징어 게임 시즌2,기생수: 더 그레이,피지컬: 100 시즌2,경성크리처,오징어 게임 시즌2,current,3,
question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
2025년 한국 대통령 탄핵·후임 선거로 당선된 인물은?,윤석열,이재명,한동훈,홍준표,이재명,current,3,
2025년 6월 한국 대통령 선거에서 승리한 후보는?,윤석열,이재명,김동연,오세훈,이재명,current,3,
2025년 한국 합계출산율이 4년 만에 상승한 수치는?,0.6,0.7,0.8,0.9,0.8,current,3,
2025년 한국 출생아 수가 15년 만에 최대 증가를 기록한 숫자는?,23만,24만,25만,26만,25만,current,3,
2025년 1인 가구 비율이 사상 처음 넘은 수치는?,30%,35%,40%,45%,35%,current,3,
2025년 한국 대통령 취임 후 첫 APEC 정상회의 개최지는?,부산,경주,제주,서울,경주,current,3,
2025년 노벨 물리학상은 양자역학 관련 어떤 발견으로 수상되었나?,초전도,거시적 양자 터널링,그래핀,블랙홀,거시적 양자 터널링,current,4,
2025년 노벨 화학상은 MOF(금속-유기 골격체) 개발로 수상한 과학자 3명 중 일본인은?,오마르 야기,스스무 키타가와,리처드 롭슨,스스무 키타가와,current,4,
2025년 K-pop 애니메이션 'KPop Demon Hunters'가 넷플릭스에서 대히트한 이유는?,BTS 출연,실제 K-pop 아티스트 협업,스트레이 키즈 OST,위 모두,위 모두,current,3,
2025년 데뷔한 5세대 대표 걸그룹 중 하나는?,Hearts2Hearts,KiiiKiii,AHOF,위 모두,위 모두,current,3,
2025년 Stray Kids 정규 앨범 'Karma'가 빌보드 1위를 차지한 것은 몇 번째인가?,3번째,4번째,5번째,6번째,5번째,current,4,
2025년 TWICE 정규 앨범 'TEN : The Story Goes On' 발매 연도는?,2024,2025,2026,2027,2025,current,3,
2025년 BLACKPINK 제니 솔로 앨범 'Ruby'가 큰 화제를 모은 이유는?,첫 정규,첫 영어 앨범,첫 월드투어,첫 정규,current,3,
2025년 BTS 멤버 전원 군 복무 완료 후 완전체 활동 재개 연도는?,2025,2026,2027,2028,2025,current,3,
2025년 한국 1인당 GDP가 사상 처음 넘은 금액은?,3만5천 달러,4만 달러,4만5천 달러,5만 달러,4만 달러,current,4,
2025년 삼성전자 HBM 점유율 1위를 위협한 경쟁사는?,SK하이닉스,TSMC,Micron,인텔,SK하이닉스,current,3,
2025년 Apple Intelligence 2.0에 추가된 주요 기능은?,실시간 통역,이미지 생성,맞춤형 Siri,위 모두,위 모두,current,3,
2025년 OpenAI가 공개한 GPT-5의 코드네임은?,Orion,Strawberry,Atlas,GPT-5,Orion,current,4,
2025년 Anthropic Claude 4의 가장 큰 특징은?,멀티모달,긴 컨텍스트,안전성 강화,위 모두,위 모두,current,3,
2025년 한국 맥도날드 가격 인상 논란 메뉴는?,빅맥,맥스파이시 치킨,1955 버거,위 모두,위 모두,current,3,
2025년 한국 대표 K-푸드 수출 1위 품목은?,김,라면,치즈,김치,김,current,3,
2025년 파리 올림픽 이후 다음 올림픽 개최지(2028)는?,LA,브리즈번,로스앤젤레스,파리,로스앤젤레스,current,3,
2025년 한국 탁구 국가대표 신유빈이 세계 랭킹 1위에 오른 종목은?,단식,복식,혼합복식,단체전,단식,current,4,
2025년 KBO 리그 우승팀은?,KIA 타이거즈,삼성 라이온즈,LG 트윈스,두산 베어스,KIA 타이거즈,current,3,
2025년 손흥민 EPL 득점왕 경쟁에서 차지한 순위는?,1위,2위,3위,4위,2위,current,4,
2025년 이강인 PSG 이적 후 첫 시즌 주요 성적은?,리그 우승,챔피언스리그 4강,유로파리그 우승,리그 우승,current,3,
2025년 뉴진스 완전체 컴백 앨범 타이틀은?,Get Up 2,Supernatural,How Sweet 2,Supernatural,current,3,
2025년 IVE 장원영 '럭키비키' 이후 새로운 유행어는?,플러팅,럭키비키 2,아이브 모드,플러팅,current,3,
2025년 LE SSERAFIM 'ANTIFRAGILE' 후속 히트곡은?,EASY,Crazy,Smart,Smart,current,3,
2025년 RIIZE 데뷔 2년 차 첫 정규 앨범 타이틀은?,Get A Guitar 2,Impossible,BOOM BOOM,Boom Boom,current,4,
2025년 BABYMONSTER 완전체 데뷔곡은?,Batter Up,Sheesh,Stuck In The Middle,Stuck In The Middle,current,3,
2025년 ZEROBASEONE 데뷔 2년 차 컴백 앨범은?,Youth,In Bloom,Cinema Paradise,Youth,current,3,
2025년 ILLIT 'Magnetic' 후속 히트곡은?,Magnetic 2,Supernova,Tick Tack,Tick Tack,current,3,
2025년 에스파 카리나 솔로 데뷔곡은?,Up,Drama,Spicy 2,Up,current,4,
2025년 세븐틴 정규 앨범 'Happy Burstday' 발매월은?,1월,4월,7월,10월,4월,current,3,
2025년 Stray Kids 리더 방찬 솔로 활동 시작 연도는?,2025,2026,2027,2024,2025,current,4,
2025년 한국 드라마 OTT 최대 화제작 '오징어 게임 시즌2' 감독은?,황동혁,봉준호,연상호,김성수,황동혁,current,3,
2025년 넷플릭스 한국 오리지널 '기생수: 더 그레이' 시즌2 발표 여부는?,발표됨,미발표,취소됨,발표 안 됨,발표됨,current,3,
2025년 영화 '파묘' 속편 개봉 여부는?,개봉,미개봉,취소,개봉 예정,미개봉,current,3,
2025년 한국 영화 관객 1위 작품은?,파묘 2,서울의 봄 2,베테랑 2,범죄도시 5,베테랑 2,current,4,
2025년 트럼프 2기 대통령과 한국 정상회담 주요 의제는?,무역 협상,북핵,반도체,무역 협상,current,3,
2025년 한국 정부 '밸류업' 프로그램 2기 추진 기관은?,한국거래소,금융위원회,기획재정부,금융감독원,한국거래소,current,3,
2025년 삼성전자 AI폰 'Galaxy AI 2.0' 주요 신기능은?,실시간 통역 2.0,이미지 생성,Circle to Search 2.0,위 모두,위 모두,current,3,
2025년 Apple MR 헤드셋 Vision Pro 2세대 출시 연도는?,2025,2026,2027,2024,2025,current,4,
2025년 Microsoft 인수 게임사 추가 발표는?,액티비전,베데스다,Call of Duty 스튜디오,Call of Duty 스튜디오,current,3,
2025년 한국 코스피 종가 사상 최고 근접치는?,3000,3200,3500,3800,3200,current,3,
2025년 한국 예산 규모(본예산) 사상 최대치는?,650조,700조,750조,800조,700조,current,3,
2025년 유튜브 한국 구독자 1위 채널은?,BTS,BLACKPINK,Stray Kids,NewJeans,BLACKPINK,current,3,
2025년 '럭키비키' 이후 IVE 장원영 신규 유행어는?,럭키비키 2,아이브 모드,플러팅,아이브 모드,current,3,
2025년 유튜브 쇼츠 최대 길이 확대된 시간은?,3분,5분,10분,15분,5분,current,3,
2025년 한국 대표 배달 앱 시장 점유율 1위는?,배달의민족,쿠팡이츠,요기요,배달의민족,current,3,
2025년 한국 모바일 게임 매출 1위는?,리니지,원신,브롤스타즈,리니지,current,3,
2025년 '베테랑 2' 개봉 후 관객 수 1위 달성 여부는?,달성,미달성,취소,달성,current,3,
2025년 '최강야구' 시즌3 우승팀 감독은?,김성근,김경문,이승엽,김성근,current,4,
2025년 트럼프 2기 당선 후 한국 증시 영향은?,상승,하락,보합,상승,current,3,
2025년 1월 트럼프 2기 취임식 주요 테마는?,America First,Make America Great Again,Unity,Make America Great Again,current,3,
2025년 한국 드라마 '오징어 게임 시즌2' 누적 시청 시간 1위 달성 여부는?,달성,미달성,2위,달성,current,3,
2025년 한국 K-콘텐츠 수출액 사상 최고 기록은?,100억,140억,180억,220억,140억,current,3,
2025년 한국 맥도날드 가격 인상 주요 메뉴는?,빅맥,맥스파이시,1955 버거,위 모두,위 모두,current,3,
2025년 기후 위기 대응 정부 부처 확대 개편명은?,환경부,기후에너지부,산업부,기후에너지부,current,4,
2025년 4월 22대 국회의원 선거 후 여당은?,더불어민주당,국민의힘,개혁신당,더불어민주당,current,3,
2025년 카카오모빌리티 택시 독점 논란 해결 방안은?,규제 강화,합병,서비스 중단,규제 강화,current,3,
2025년 삼성전자 HBM 경쟁력 강화 발표 후 주가 영향은?,상승,하락,보합,상승,current,3,
2025년 한국 주식 밸류업 지수 2기 출시 기관은?,한국거래소,금융감독원,기획재정부,한국거래소,current,3,
2025년 개인정보 보호위 주요 이슈 기업은?,카카오,네이버,쿠팡,위 모두,위 모두,current,3,
2025년 한국 전기차 화재 사고 주요 브랜드는?,테슬라,현대,기아,테슬라,current,3,
2025년 넷플릭스 '오징어 게임 시즌2' 글로벌 1위 달성 여부는?,달성,미달성,2위,달성,current,3,
2025년 한국 대통령 이재명 취임 후 첫 국정과제는?,민생 경제,북한 정책,AI 산업,민생 경제,current,3,
2025년 BTS 완전체 월드투어 시작 연도는?,2025,2026,2027,2025,current,4,
2025년 NewJeans 민지 리더직 유지 여부는?,유지,변경,해체,유지,current,3,
2025년 LE SSERAFIM 사쿠라 활동 재개 여부는?,재개,은퇴,군 입대,재개,current,3,
2025년 aespa 'Supernova' 후속곡은?,Armageddon,Drama,Spicy,Armageddon,current,3,
2025년 SEVENTEEN BSS 유닛 신곡 'Teleparty' 발매월은?,1월,4월,7월,1월,current,3,
2025년 Stray Kids 'GO LIVE' 후속 앨범은?,Karma,5-STAR,MAXIDENT,Karma,current,3,
2025년 (여자)아이들 소연 프로듀싱 신곡은?,Queen Card 2,Super Lady,Tomato,Super Lady,current,3,
2025년 TREASURE 완전체 컴백 앨범은?,The First Step,REBOOT,Hello,REBOOT,current,3,
2025년 ENHYPEN 'Romance Untold' 후속 앨범은?,Romance Untold 2,Dark Blood,Border,Romance Untold 2,current,3,
2025년 STAYC 'Bubble' 후속 히트곡은?,Bubble 2,ASAP,Cheeky,I Like It,current,3,
2025년 Kep1er 해체 후 멤버 솔로 활동 시작은?,2025,2026,2024,2025,current,4,
2025년 IVE 'I AM' 후속 앨범은?,IVE Switch,After Like 2,Eleven 2,IVE Switch,current,3,
2025년 NewJeans 'How Sweet' 후속 앨범은?,Supernatural,Get Up 2,OMG 2,Supernatural,current,3,
2025년 ILLIT 'Magnetic' 후속 앨범은?,Tick Tack,Bomb,Supernova,Bomb,current,3,
2025년 BABYMONSTER 데뷔 2년 차 정규 앨범은?,BabyMonsters,Stuck In The Middle 2,Sheesh 2,BabyMonsters,current,4,
2025년 ZEROBASEONE 'In Bloom' 후속 앨범은?,Cinema Paradise,Youth 2,Good Boy, Cinema Paradise,current,3,
2025년 RIIZE 'Get A Guitar' 후속 앨범은?,Boom Boom,Impossible 2,Get A Guitar 2,Boom Boom,current,3,
2025년 NCT WISH 데뷔 앨범은?,Wish,Surf,Steady, Wish,current,4,
2025년 BOYNEXTDOOR 첫 정규 앨범은?,19.99,19.20,17.99,19.99,current,3,
2025년 ATEEZ 'Golden Hour' 후속 앨범은?,Golden Hour Part 2,The World EP,Outlaw,Golden Hour Part 2,current,3,
2025년 TXT 'The Name Chapter' 후속 앨범은?,Temptation 2,Freefall 2,The Name Chapter 2,The Name Chapter 2,current,3,
2025년 LE SSERAFIM 'Crazy' 후속 앨범은?,Antifragile 2,Easy 2,Crazy 2,Crazy 2,current,3,
2025년 TWICE 'With YOU-th' 후속 앨범은?,TEN,Strategy,With YOU-th 2,TEN,current,4,
2025년 BLACKPINK 완전체 컴백 발표 연도는?,2025,2026,2027,2025,current,3,
2025년 SM 신인 보이그룹 데뷔 그룹은?,NCT WISH,RIIZE,NewJeans(남),NCT WISH,current,4,
2025년 YG 신인 걸그룹 데뷔 그룹은?,BABYMONSTER 2,NewJeans,2NE1 후속,NewJeans,current,3,
2025년 JYP 2025년 신인 데뷔 그룹은?,NMIXX 후속,ITZY 후속,Stray Kids 후속,NMIXX 후속,current,3,
2025년 HYBE 산하 ADOR 뉴진스 컴백 횟수는?,2회,3회,4회,3회,current,4,
2025년 한국 드라마 '선재 업고 튀어' 시즌2 발표 여부는?,발표,미발표,취소,미발표,current,3,
2025년 '무빙' 시즌2 넷플릭스 공개 연도는?,2025,2026,2027,2026,current,4,
2025년 '더 글로리' 시즌3 발표 여부는?,발표,미발표,종영,미발표,current,3,
2025년 한국 영화 '서울의 봄' 속편 개봉 여부는?,개봉,미개봉,취소,미개봉,current,3,
2025년 '범죄도시' 시리즈 5편 주연은?,마동석,황정민,이성민,마동석,current,3,
2025년 '베테랑 2' 흥행 기록은?,1000만,800만,1200만,1000만,current,4,
2025년 한국 관광객 사상 최대 기록은?,1800만,2000만,2200만,1800만,current,3,
2025년 K-pop 글로벌 스트리밍 1위 아티스트는?,BTS,NewJeans,Stray Kids,NewJeans,current,3,
2025년 한국 e스포츠 LoL 월드 챔피언십 우승팀은?,T1,Gen.G,DK, T1,current,4,
2025년 손흥민 EPL 200골 달성 여부는?,달성,미달성,150골,달성,current,3,
2025년 김민재 분데스리가 우승팀은?,바이에른,레버쿠젠,도르트문트,바이에른,current,3,
2025년 이강인 PSG 챔피언스리그 8강 진출 여부는?,진출,탈락,4강,진출,current,3,
2025년 류현진 MLB 복귀팀은?,토론토,LA 다저스,한화,토론토,current,4,
2025년 한국 양궁 올림픽 이후 세계선수권 금메달 수는?,5개,10개,15개,10개,current,3,
2025년 안세영 배드민턴 세계 1위 유지 기간은?,1년,2년,3년,2년,current,3,
2025년 한국 축구 대표팀 FIFA 랭킹 최고 순위는?,20위,25위,30위,25위,current,4,
2025년 KBO 신인왕은?,김도영,노시환,김택연,김택연,current,3,
2025년 프로야구 FA 최대 계약 선수는?,이정후,김하성,양현종,이정후,current,3,
2025년 한국 프로농구 MVP는?,허훈,김선형,라건아,허훈,current,4,
2025년 e스포츠 Faker 이상혁 LoL 통산 우승 수는?,10회,11회,12회,11회,current,3,
2025년 한국 영화제작가협회상 작품상 수상작은?,파묘,서울의 봄,베테랑 2,파묘,current,3,
2025년 청룡영화상 최우수작품상은?,파묘,서울의 봄,베테랑 2,파묘,current,4,
2025년 한국 가요대상 대상 수상 그룹은?,NewJeans,Stray Kids,TWICE,NewJeans,current,3,
2025년 멜론뮤직어워드 올해의 노래상은?,Supernatural,Magnetic,Armageddon,Supernatural,current,3,
2025년 MAMA 대상 아티스트상은?,BTS,NewJeans,Stray Kids,BTS,current,4,
