question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
"""독일 국기"" 색 순서 (위에서부터)는?",검·빨·노,빨·노·검,검·노·빨,노·빨·검,검·빨·노,classic,3,
"""이탈리아 국기"" 색 순서 (왼쪽부터)는?",녹·백·적,적·백·녹,백·녹·적,적·녹·백,녹·백·적,classic,3,
"""영국 국기"" 이름은?",유니언 잭,로얄 크로스,세인트 조지,브리튼,유니언 잭,classic,3,
"""캐나다 국기"" 상징은?",단풍잎,곰,사자,늑대,단풍잎,classic,3,
"""호주 국기""에 들어간 다른 나라 국기는?",영국 유니언 잭,미국,프랑스,캐나다,영국 유니언 잭,classic,3,
"""UN"" 창설 연도는?",1919년,1945년,1950년,1955년,1945년,classic,3,
"""UN"" 초대 사무총장은?",트리그베 리,코피 아난,반기문,우탄트,트리그베 리,classic,3,
"""반기문""의 UN 사무총장 임기는?",2005~2012,2007~2016,2010~2018,2005~2015,2007~2016,classic,3,
"""OECD"" 본부 도시는?",파리,뉴욕,런던,도쿄,파리,classic,3,
"""WHO"" 본부 도시는?",뉴욕,제네바,파리,런던,제네바,classic,3,
"""WTO"" 본부 도시는?",제네바,런던,뉴욕,파리,제네바,classic,3,
"""ECB(유럽중앙은행)"" 본부 도시는?",프랑크푸르트,런던,브뤼셀,파리,프랑크푸르트,modern,3,
"""IMF"" 본부 도시는?",워싱턴 D.C.,런던,제네바,도쿄,워싱턴 D.C.,modern,3,
"""NATO"" 본부 도시는?",브뤼셀,런던,파리,베를린,브뤼셀,modern,3,
