question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
2024년 기준 가장 많이 팔린 전기차 브랜드 1위는 (글로벌)?,테슬라,BYD,폭스바겐,현대·기아,테슬라,current,3,
1 km는 몇 m?,10 m,100 m,1000 m,10000 m,1000 m,classic,2,
1 kg는 몇 g?,100 g,500 g,1000 g,10000 g,1000 g,classic,2,
"한국 지방 중 ""전라도""에 속하지 않는 도시는?",광주,전주,순천,대구,대구,classic,2,
가장 큰 대양 (바다)은?,대서양,태평양,인도양,북극해,태평양,classic,3,
7대양을 모두 외우는 순서로 맞는 것은?,북·남태·북·남대·인도·북극·남극,북·남태평양·북·남대서양·인도양·북극해·남극해,대서·태평·인도·북극·남극,태평양·대서양·인도양·북극해,북·남태평양·북·남대서양·인도양·북극해·남극해,classic,3,
"""Pi(π)""의 소수점 첫 자리는?",3.04,3.14,3.24,3.00,3.14,classic,3,
직각은 몇 도?,45°,90°,180°,360°,90°,classic,3,
삼각형 내각의 합은?,90°,180°,270°,360°,180°,classic,3,
사각형 내각의 합은?,180°,270°,360°,720°,360°,classic,3,
원주는 반지름 r일 때?,πr,πr²,2πr,2πr²,2πr,classic,3,
원의 넓이는 반지름 r일 때?,πr,πr²,2πr,2πr²,πr²,classic,3,
대한민국 국민 중 선거 연령은?,18세,19세,20세,22세,18세,classic,2,
"""하늘""을 한자로?",天,地,人,日,天,classic,3,
"""산""을 한자로?",山,水,木,川,山,classic,3,
"""바다""를 한자로?",江,海,湖,川,海,classic,3,
"""春夏秋冬""의 뜻은?",봄여름가을겨울,사계절,春夏秋冬,위 모두,위 모두,classic,3,
1세기는 몇 년?,10년,50년,100년,1000년,100년,classic,3,
1년 12달 중 31일인 달 수는?,5개,6개,7개,8개,7개,classic,3,
2월이 29일인 해를 무엇이라 하나?,평년,윤년,10년,4년,윤년,classic,3,
세종대왕을 모델로 한 한국 화폐는?,1만원,5만원,오천원,천원,1만원,classic,3,
"""신사임당""을 모델로 한 한국 화폐는?",1만원,5만원,5천원,천원,5만원,classic,3,
"""이율곡""을 모델로 한 한국 화폐는?",1만원,5만원,5천원,천원,5천원,classic,3,
"""이황""을 모델로 한 한국 화폐는?",1만원,5만원,5천원,천원,천원,classic,3,
"""이순신""을 모델로 한 한국 화폐 동전은?",백원,오백원,오십원,십원,백원,classic,3,
"하늘에 뜨는 ""별""의 정체는?",불타는 돌,먼 항성,행성,위성,먼 항성,classic,3,
오존층은 어디에 있나?,대류권,성층권,중간권,열권,성층권,classic,3,
"""태풍""의 눈은 어떤 상태?",바람이 강함,바람이 약함,비가 많음,천둥이 침,바람이 약함,classic,3,
"""지진""의 강도 단위는?",리히터 · 규모,데시벨,헤르츠,칼로리,리히터 · 규모,classic,3,
혈액 순환을 발견한 과학자는?,윌리엄 하비,갈렌,뉴턴,파스퇴르,윌리엄 하비,classic,3,
페니실린을 발견한 과학자는?,플레밍,파스퇴르,코흐,멘델,플레밍,classic,3,
"""노벨상"" 수상 분야 수는?",5개,6개,7개,8개,6개,classic,3,
노벨상 5개 부문(1901)에 포함되지 않는 것은?,물리학,화학,생리의학,경제학,경제학,classic,3,
한국 최초 노벨상 수상자는?,김대중,한강,이어령,반기문,김대중,classic,3,
"""우리나라 말""을 가장 잘 기록한 문자는?",한자,한글,훈민정음,한문,한글,classic,3,
"""대한민국""이라는 국호가 결정된 시기는?",1897년,1919년,1948년,1910년,1948년,classic,3,
세종대왕 재위 기간은?,1418~1450,1392~1398,1450~1452,1418~1467,1418~1450,classic,3,
"""대동여지도"" 작성자는?",김정호,정약용,이익,이기백,김정호,classic,3,
"""성학십도""의 저자는?",이황,이이,정약용,박지원,이황,classic,3,
"조선시대 ""실학""의 대표 인물 4명 중 한 명은?",정약용,이이,퇴계,율곡,정약용,classic,3,
"""사서삼경""에 포함되지 않는 것은?",논어,맹자,중용,순자,순자,classic,3,
"""서양의 4대 문명"" 순서에 포함되지 않는 것은?",이집트,메소포타미아,황하,로마,로마,classic,3,
"""셰익스피어""의 4대 비극에 속하지 않는 작품은?",햄릿,로미오와 줄리엣,오셀로,리어왕,로미오와 줄리엣,classic,3,
"""한 권의 책""으로 말하는 한자는?",本,書,冊,卷,冊,classic,3,
"""꽃이 핀다""를 한자로?",花開,月明,日出,星輝,花開,classic,3,
베토벤의 교향곡 9번 부제는?,영웅,운명,합창,전원,합창,classic,3,
베토벤 5번 교향곡의 별명은?,영웅,운명,합창,전원,운명,classic,3,
모차르트의 국적은?,독일,오스트리아,이탈리아,프랑스,오스트리아,classic,3,
"""사계""를 작곡한 음악가는?",비발디,바흐,헨델,모차르트,비발디,classic,3,
"""에밀"" (교육서) 저자는?",장 자크 루소,데카르트,몽테스키외,볼테르,장 자크 루소,classic,3,
"""유토피아"" 저자는?",토마스 모어,마키아벨리,루소,몽테스키외,토마스 모어,classic,3,
"""동의수세보원""의 저자는?",이제마,허준,유의태,정약용,이제마,classic,3,
피카소의 대표 그림은?,게르니카,모나리자,별이 빛나는 밤,해바라기,게르니카,classic,3,
"""별이 빛나는 밤""을 그린 화가는?",고흐,피카소,모네,렘브란트,고흐,classic,3,
"""해바라기"" 화가는?,고흐,모네,세잔,르누아르,고흐,classic,3,
"""절규""를 그린 화가는?,뭉크,샤갈,칸딘스키,클림트,뭉크,classic,3,
"""인공지능""의 약자는?,AI,AR,VR,ML,AI,modern,3,
"""기계학습""의 약자는?,ML,AI,DL,NN,ML,modern,3,
"""딥러닝""의 약자는?,DL,ML,AI,NN,DL,modern,3,
"""Blockchain""의 한국어는?,블록체인,분산원장,디지털 장부,분산형 데이터베이스,블록체인,modern,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",됐다,됬다,됟다,됬어,됐다,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",되어요,돼요,되요,됐요,돼요,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",할게,할께,하게,하께,할게,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",오랫만에,오랜만에,오래만에,오랜만이,오랜만에,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",안 돼,안 되,않 돼,않 되,안 돼,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",몇 일,며칠,몇일,몇 이틀,며칠,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",곰곰이,곰곰히,공공이,공공히,곰곰이,classic,3,
"""한국어 맞춤법"" - 다음 중 올바른 것은?",꼭깍,꼽깎,꼴까닥,깎다,깎다,classic,3,
"""일(날)""을 세는 단위로 올바른 것은?",일,날,하루,위 모두 맞음,위 모두 맞음,classic,3,
"""12월 31일""의 또 다른 이름은?",섣달 그믐,입동,대설,하지,섣달 그믐,classic,3,
"""입춘""은 24절기 중 첫 번째, 대략 언제?",2월 초,3월 초,4월 초,5월 초,2월 초,classic,3,
"""추석""은 음력 몇 월 며칠?,1월 1일,8월 15일,9월 9일,10월 3일,8월 15일,classic,3,
"""설날""은 음력 며칠?,1월 1일,1월 15일,2월 1일,3월 1일,1월 1일,classic,3,
"""동지""는 24절기 중 어떤 날?,낮이 가장 짧음,밤이 가장 짧음,낮이 가장 긺,봄의 시작,낮이 가장 짧음,classic,3,
"""하지""는 어떤 날?,낮이 가장 긺,밤이 가장 긺,봄의 중간,가을의 시작,낮이 가장 긺,classic,3,
"""1일 1만보""의 개념이 시작된 국가는?,일본,한국,미국,독일,일본,classic,3,
인간의 혈액은 몇 리터?,2리터,4-5리터,7리터,10리터,4-5리터,classic,3,
사람 귀의 귀지의 역할은?,먼지 차단,소리 증폭,평형 유지,소음 흡수,먼지 차단,classic,3,
"""혈액형 O형""이 모든 사람에게 수혈 가능한 이유는?",항원이 없어서,항원이 2개라서,항체가 없어서,수혈 불가능,항원이 없어서,classic,3,
물은 몇 도에서 가장 밀도가 높나?,0도,4도,10도,25도,4도,classic,3,
"""프리즈마""가 뭘 하는가?,빛을 분광,빛을 모음,소리를 반사,전기 저장,빛을 분광,classic,3,
"""도플러 효과""란?,관측자와 음원의 상대속도에 따라 주파수 변화,빛이 굴절하는 현상,입자가 회전하는 현상,음파가 소멸하는 현상,관측자와 음원의 상대속도에 따라 주파수 변화,classic,3,
"""상온""은 약 몇 도?,약 10도,약 20도,약 30도,약 40도,약 20도,classic,3,
"""체온계""의 SI 단위는?,섭씨,화씨,켈빈,줄,켈빈,classic,3,
"""섭씨 100도""는 화씨로?,100도,150도,212도,300도,212도,classic,3,
"""IoT""의 풀네임은?,Internet of Things,Internet over Time,Intranet of Tech,Index of Things,Internet of Things,modern,3,
"""SaaS""의 의미는?,Software as a Service,Secure as a Service,Speed as a Service,System as a Service,Software as a Service,modern,3,
"""HTTP""의 풀네임은?,HyperText Transfer Protocol,High Tech Transfer,Hyper Tech Terminal,Host Transfer Protocol,HyperText Transfer Protocol,modern,3,
"""URL""의 풀네임은?,Uniform Resource Locator,United Resource Link,Universal Reference Link,Unlimited Resource Line,Uniform Resource Locator,modern,3,
"""HTML""의 풀네임은?,HyperText Markup Language,HyperTool Machine Language,High Tech Markup Layout,Hyper Text Made Live,HyperText Markup Language,modern,3,
